商品编号,商品名称,品牌,价格（元）,原价（元）,折扣率,月销量,累计评价数,好评率,鞋面材质,鞋底材质,闭合方式,风格,适用季节,用户年龄,用户性别,用户所在省份,是否PLUS会员,下单时间（小时）,是否退货
923726355,回力经典简约百搭春季新款,回力经典,105,130,81,710,2476,92,超纤皮鞋,TPR鞋底,套脚款式,简约百搭,春季新款,47,女,四川省,否,20,是
982036058,安踏运动复古潮鞋四季通用,安踏运动,99,115,86,1265,437,91,合成革鞋,PU中底,系带设计,复古潮鞋,四季通用,46,女,四川省,否,4,否
740754464,京东京造日常休闲冬季保暖,京东京造,99,102,97,23,1466,92,布面材质,混合鞋底,系带设计,日常休闲,冬季保暖,47,女,江苏省,是,4,否
555597224,京东京造简约百搭四季通用,京东京造,99,150,66,269,2575,94,合成革鞋,橡胶大底,拉链鞋款,简约百搭,四季通用,36,女,河南省,否,9,否
740766126,阿迪达斯简约百搭春季新款,阿迪达斯,99,124,80,934,5085,92,飞织面料,橡胶大底,魔术贴鞋,简约百搭,春季新款,42,男,四川省,否,5,是
546258640,斯凯奇潮复古潮鞋冬季保暖,斯凯奇潮,99,162,61,312,1422,90,网布透气,TPR鞋底,拉链鞋款,复古潮鞋,冬季保暖,48,男,四川省,是,22,是
389752023,阿迪达斯运动休闲冬季保暖,阿迪达斯,180,217,83,2135,6474,99,飞织面料,混合鞋底,系带设计,运动休闲,冬季保暖,53,女,福建省,是,9,是
205326930,鸿星尔克简约百搭春季新款,鸿星尔克,359,690,52,97,532,90,飞织面料,TPR鞋底,套脚款式,简约百搭,春季新款,39,男,河南省,是,9,是
768087427,耐克潮流日常休闲秋季百搭,耐克潮流,240,324,74,40,2589,100,网布透气,EVA轻底,系带设计,日常休闲,秋季百搭,57,男,广东省,否,22,是
434027471,阿迪达斯运动休闲秋季百搭,阿迪达斯,417,479,87,38,113,97,混合材质,橡胶大底,系带设计,运动休闲,秋季百搭,45,男,福建省,是,7,是
794315241,阿迪达斯户外机能冬季保暖,阿迪达斯,267,361,74,1303,489,97,布面材质,PU中底,拉链鞋款,户外机能,冬季保暖,51,女,浙江省,是,20,否
708545993,回力经典简约百搭夏季透气,回力经典,99,121,82,369,1311,90,飞织面料,PU中底,系带设计,简约百搭,夏季透气,50,男,福建省,否,1,是
181945588,安踏运动户外机能秋季百搭,安踏运动,102,123,83,906,6059,93,布面材质,混合鞋底,拉链鞋款,户外机能,秋季百搭,44,女,山东省,否,22,是
261160167,鸿星尔克工装硬朗四季通用,鸿星尔克,99,100,99,6,737,92,合成革鞋,PU中底,松紧带鞋,工装硬朗,四季通用,22,男,江苏省,是,21,是
983579934,李宁休闲运动休闲四季通用,李宁休闲,254,343,74,1110,11737,98,真皮柔软,EVA轻底,系带设计,运动休闲,四季通用,52,男,四川省,否,4,否
338212729,特步男鞋简约百搭夏季透气,特步男鞋,123,128,96,46,933,94,混合材质,TPR鞋底,系带设计,简约百搭,夏季透气,46,女,浙江省,否,23,是
335157677,阿迪达斯简约百搭夏季透气,阿迪达斯,264,343,77,2704,5866,91,真皮柔软,EVA轻底,系带设计,简约百搭,夏季透气,29,女,安徽省,否,22,是
960780938,特步男鞋户外机能四季通用,特步男鞋,99,130,76,26,455,100,高端飞织,PU中底,套脚款式,户外机能,四季通用,43,男,河南省,是,2,是
647638825,李宁休闲户外机能春季新款,李宁休闲,99,106,93,1393,199,97,高端飞织,PU中底,套脚款式,户外机能,春季新款,50,男,安徽省,否,20,否
796195558,京东京造工装硬朗春季新款,京东京造,245,258,95,259,313,89,混合材质,PU中底,魔术贴鞋,工装硬朗,春季新款,45,女,河南省,否,16,否
998742963,京东京造日常休闲四季通用,京东京造,115,221,52,25,2325,95,高端飞织,TPR鞋底,系带设计,日常休闲,四季通用,50,男,江苏省,是,11,是
706100500,阿迪达斯复古潮鞋四季通用,阿迪达斯,341,397,86,775,1866,92,布面材质,橡胶大底,松紧带鞋,复古潮鞋,四季通用,54,男,河南省,是,2,是
982385951,其他品牌复古潮鞋秋季百搭,其他品牌,99,102,97,8,959,100,超纤皮鞋,混合鞋底,拉链鞋款,复古潮鞋,秋季百搭,39,男,安徽省,是,20,是
655558212,李宁休闲日常休闲春季新款,李宁休闲,99,177,56,350,1355,90,超纤皮鞋,MD发泡底,松紧带鞋,日常休闲,春季新款,45,男,河南省,否,5,是
170630763,特步男鞋潮流高街夏季透气,特步男鞋,99,148,67,2415,2312,97,网布透气,MD发泡底,松紧带鞋,潮流高街,夏季透气,48,女,广东省,是,12,否
572739713,李宁休闲日常休闲冬季保暖,李宁休闲,135,255,53,131,5063,96,合成革鞋,TPR鞋底,拉链鞋款,日常休闲,冬季保暖,44,男,安徽省,是,18,否
396957997,安踏运动运动休闲冬季保暖,安踏运动,119,172,69,32,716,90,布面材质,混合鞋底,拉链鞋款,运动休闲,冬季保暖,43,女,安徽省,否,4,是
758178613,鸿星尔克工装硬朗夏季透气,鸿星尔克,99,165,60,1300,1805,98,合成革鞋,TPR鞋底,松紧带鞋,工装硬朗,夏季透气,32,女,浙江省,否,21,否
870145943,其他品牌运动休闲春季新款,其他品牌,181,185,98,248,219,95,超纤皮鞋,MD发泡底,魔术贴鞋,运动休闲,春季新款,49,男,江苏省,否,1,是
979525378,特步男鞋潮流高街四季通用,特步男鞋,99,116,85,1376,992,90,合成革鞋,TPR鞋底,系带设计,潮流高街,四季通用,50,男,湖北省,否,16,是
896042026,阿迪达斯简约百搭秋季百搭,阿迪达斯,123,141,87,1175,2490,97,高端飞织,橡胶大底,系带设计,简约百搭,秋季百搭,44,男,湖北省,否,20,否
721940802,其他品牌户外机能四季通用,其他品牌,113,159,71,2358,1645,90,飞织面料,橡胶大底,松紧带鞋,户外机能,四季通用,47,女,广东省,是,20,是
711743395,斯凯奇潮简约百搭冬季保暖,斯凯奇潮,99,115,86,373,604,91,高端飞织,EVA轻底,套脚款式,简约百搭,冬季保暖,50,女,安徽省,否,12,是
292237816,斯凯奇潮复古潮鞋四季通用,斯凯奇潮,296,299,99,965,564,94,布面材质,橡胶大底,拉链鞋款,复古潮鞋,四季通用,39,男,安徽省,是,3,是
188687847,安踏运动运动休闲冬季保暖,安踏运动,171,182,94,3485,699,90,布面材质,EVA轻底,魔术贴鞋,运动休闲,冬季保暖,43,女,河南省,否,21,是
913242242,耐克潮流户外机能冬季保暖,耐克潮流,116,116,100,411,389,89,真皮柔软,EVA轻底,魔术贴鞋,户外机能,冬季保暖,38,男,浙江省,是,10,是
221270672,特步男鞋日常休闲四季通用,特步男鞋,147,245,60,2621,188,97,飞织面料,EVA轻底,魔术贴鞋,日常休闲,四季通用,49,女,浙江省,否,17,是
615907722,耐克潮流户外机能冬季保暖,耐克潮流,99,146,68,1411,522,92,高端飞织,EVA轻底,魔术贴鞋,户外机能,冬季保暖,54,女,山东省,是,0,否
620560100,阿迪达斯户外机能四季通用,阿迪达斯,105,121,87,3907,1611,92,高端飞织,EVA轻底,系带设计,户外机能,四季通用,34,男,河南省,否,20,是
526575461,斯凯奇潮工装硬朗春季新款,斯凯奇潮,209,255,82,817,1806,91,混合材质,橡胶大底,套脚款式,工装硬朗,春季新款,54,女,河南省,否,4,否
199252504,耐克潮流运动休闲春季新款,耐克潮流,99,124,80,4759,2117,100,合成革鞋,混合鞋底,拉链鞋款,运动休闲,春季新款,56,男,广东省,否,13,否
992086489,李宁休闲复古潮鞋四季通用,李宁休闲,99,124,80,1396,3938,98,合成革鞋,混合鞋底,拉链鞋款,复古潮鞋,四季通用,44,男,福建省,否,20,是
147630312,鸿星尔克工装硬朗春季新款,鸿星尔克,99,138,72,978,1705,95,混合材质,MD发泡底,魔术贴鞋,工装硬朗,春季新款,45,女,河南省,否,21,是
655228723,安踏运动户外机能四季通用,安踏运动,101,191,53,7,807,96,真皮柔软,混合鞋底,拉链鞋款,户外机能,四季通用,54,女,广东省,否,18,否
609774458,回力经典日常休闲秋季百搭,回力经典,110,139,79,4937,765,99,网布透气,PU中底,套脚款式,日常休闲,秋季百搭,44,女,湖北省,否,2,否
439995161,回力经典工装硬朗秋季百搭,回力经典,426,592,72,1087,1429,96,网布透气,EVA轻底,魔术贴鞋,工装硬朗,秋季百搭,38,女,广东省,是,14,否
724638764,其他品牌潮流高街秋季百搭,其他品牌,149,292,51,943,690,91,超纤皮鞋,橡胶大底,魔术贴鞋,潮流高街,秋季百搭,49,女,四川省,否,9,是
286516733,京东京造运动休闲秋季百搭,京东京造,183,327,56,1256,1143,100,高端飞织,MD发泡底,松紧带鞋,运动休闲,秋季百搭,41,男,浙江省,是,8,是
666768131,阿迪达斯运动休闲夏季透气,阿迪达斯,99,180,55,745,162,91,网布透气,EVA轻底,套脚款式,运动休闲,夏季透气,58,女,江苏省,是,22,是
366050562,其他品牌潮流高街秋季百搭,其他品牌,99,146,68,174,1489,99,高端飞织,MD发泡底,魔术贴鞋,潮流高街,秋季百搭,46,女,山东省,是,15,是
687961067,李宁休闲户外机能四季通用,李宁休闲,172,176,98,29,210,92,真皮柔软,混合鞋底,拉链鞋款,户外机能,四季通用,45,男,湖北省,是,19,是
321665624,其他品牌工装硬朗春季新款,其他品牌,163,223,73,858,413,94,网布透气,TPR鞋底,系带设计,工装硬朗,春季新款,44,女,河南省,是,23,否
210208101,京东京造复古潮鞋四季通用,京东京造,169,282,60,15,2838,100,网布透气,TPR鞋底,系带设计,复古潮鞋,四季通用,53,女,河北省,否,23,否
639932741,回力经典工装硬朗夏季透气,回力经典,194,334,58,64,2163,93,混合材质,橡胶大底,拉链鞋款,工装硬朗,夏季透气,54,男,福建省,否,23,是
779320384,李宁休闲潮流高街春季新款,李宁休闲,156,260,60,2816,1201,92,真皮柔软,混合鞋底,套脚款式,潮流高街,春季新款,46,女,湖北省,是,17,否
524595527,耐克潮流日常休闲冬季保暖,耐克潮流,99,103,96,838,356,98,真皮柔软,橡胶大底,系带设计,日常休闲,冬季保暖,44,男,四川省,否,19,是
520790565,京东京造潮流高街春季新款,京东京造,99,101,98,19,1618,92,网布透气,混合鞋底,套脚款式,潮流高街,春季新款,61,男,安徽省,是,14,否
128972769,阿迪达斯潮流高街冬季保暖,阿迪达斯,99,129,77,147,971,92,超纤皮鞋,EVA轻底,套脚款式,潮流高街,冬季保暖,47,女,四川省,是,5,否
282933858,李宁休闲简约百搭夏季透气,李宁休闲,99,155,64,801,2925,97,飞织面料,TPR鞋底,套脚款式,简约百搭,夏季透气,57,男,安徽省,否,8,否
956664563,特步男鞋日常休闲冬季保暖,特步男鞋,184,252,73,46,22600,94,飞织面料,TPR鞋底,魔术贴鞋,日常休闲,冬季保暖,50,女,河南省,否,16,否
660994906,斯凯奇潮运动休闲春季新款,斯凯奇潮,146,252,58,481,2612,94,飞织面料,混合鞋底,松紧带鞋,运动休闲,春季新款,43,女,安徽省,否,21,是
447662457,其他品牌运动休闲冬季保暖,其他品牌,100,111,90,976,1904,91,网布透气,混合鞋底,松紧带鞋,运动休闲,冬季保暖,19,男,山东省,否,14,否
163579665,李宁休闲简约百搭秋季百搭,李宁休闲,103,163,63,4777,1877,96,合成革鞋,MD发泡底,松紧带鞋,简约百搭,秋季百搭,49,男,福建省,否,23,是
908050322,京东京造户外机能四季通用,京东京造,157,201,78,464,330,91,布面材质,TPR鞋底,拉链鞋款,户外机能,四季通用,61,女,湖北省,是,2,是
349544498,特步男鞋运动休闲四季通用,特步男鞋,204,329,62,4040,4172,87,高端飞织,PU中底,魔术贴鞋,运动休闲,四季通用,56,女,河北省,否,17,否
384812362,鸿星尔克户外机能春季新款,鸿星尔克,99,129,77,1199,636,92,超纤皮鞋,橡胶大底,系带设计,户外机能,春季新款,41,女,湖北省,否,10,是
624732841,李宁休闲工装硬朗春季新款,李宁休闲,99,105,94,4658,406,91,合成革鞋,MD发泡底,系带设计,工装硬朗,春季新款,45,女,福建省,是,2,是
364862844,耐克潮流工装硬朗四季通用,耐克潮流,259,489,53,17,1605,92,高端飞织,混合鞋底,套脚款式,工装硬朗,四季通用,58,男,四川省,是,1,否
644050087,京东京造户外机能秋季百搭,京东京造,99,180,55,588,3090,89,真皮柔软,橡胶大底,系带设计,户外机能,秋季百搭,33,男,四川省,否,23,是
415684487,鸿星尔克运动休闲四季通用,鸿星尔克,99,114,87,1038,563,90,飞织面料,混合鞋底,松紧带鞋,运动休闲,四季通用,44,男,浙江省,否,6,是
434956410,其他品牌户外机能四季通用,其他品牌,202,388,52,4167,445,98,飞织面料,橡胶大底,松紧带鞋,户外机能,四季通用,42,女,河北省,是,21,否
203210132,回力经典日常休闲夏季透气,回力经典,99,162,61,13,2792,93,布面材质,PU中底,拉链鞋款,日常休闲,夏季透气,41,男,河南省,是,4,否
374966705,京东京造简约百搭夏季透气,京东京造,157,204,77,590,3007,94,飞织面料,PU中底,系带设计,简约百搭,夏季透气,52,女,四川省,否,8,否
128503390,李宁休闲日常休闲春季新款,李宁休闲,220,259,85,506,167,94,混合材质,PU中底,松紧带鞋,日常休闲,春季新款,29,男,山东省,否,21,否
273337947,其他品牌日常休闲夏季透气,其他品牌,126,170,74,157,459,91,网布透气,PU中底,拉链鞋款,日常休闲,夏季透气,52,女,江苏省,否,23,否
117124226,鸿星尔克潮流高街四季通用,鸿星尔克,340,340,100,13,304,94,飞织面料,混合鞋底,系带设计,潮流高街,四季通用,41,男,浙江省,是,20,否
231743548,鸿星尔克工装硬朗四季通用,鸿星尔克,140,280,50,449,13435,90,布面材质,TPR鞋底,魔术贴鞋,工装硬朗,四季通用,48,女,山东省,是,13,否
990867939,特步男鞋日常休闲四季通用,特步男鞋,99,171,58,837,9857,91,布面材质,橡胶大底,魔术贴鞋,日常休闲,四季通用,43,男,河北省,是,22,是
291621453,李宁休闲日常休闲冬季保暖,李宁休闲,99,132,75,20,199,97,高端飞织,MD发泡底,魔术贴鞋,日常休闲,冬季保暖,39,男,福建省,是,21,是
998377461,安踏运动潮流高街四季通用,安踏运动,99,125,79,275,5815,95,飞织面料,TPR鞋底,松紧带鞋,潮流高街,四季通用,47,女,山东省,否,9,是
137182162,回力经典运动休闲四季通用,回力经典,290,387,75,1051,1109,99,合成革鞋,EVA轻底,拉链鞋款,运动休闲,四季通用,44,女,福建省,是,0,否
613181201,京东京造日常休闲秋季百搭,京东京造,99,180,55,48,2137,86,真皮柔软,PU中底,系带设计,日常休闲,秋季百搭,44,男,浙江省,是,21,是
119685077,耐克潮流运动休闲夏季透气,耐克潮流,126,188,67,1388,128,100,布面材质,TPR鞋底,魔术贴鞋,运动休闲,夏季透气,55,女,河南省,是,11,否
698745966,回力经典简约百搭冬季保暖,回力经典,99,121,82,4,1159,96,高端飞织,TPR鞋底,魔术贴鞋,简约百搭,冬季保暖,46,男,浙江省,否,23,是
615001943,耐克潮流户外机能秋季百搭,耐克潮流,99,150,66,1213,2210,99,网布透气,EVA轻底,松紧带鞋,户外机能,秋季百搭,57,男,河北省,否,21,是
305054311,斯凯奇潮简约百搭冬季保暖,斯凯奇潮,99,150,66,1251,1735,96,合成革鞋,MD发泡底,系带设计,简约百搭,冬季保暖,55,男,江苏省,否,20,是
402963640,特步男鞋简约百搭秋季百搭,特步男鞋,99,183,54,18,55,95,布面材质,混合鞋底,套脚款式,简约百搭,秋季百搭,24,男,四川省,否,5,否
528469635,特步男鞋复古潮鞋春季新款,特步男鞋,112,190,59,628,748,90,真皮柔软,橡胶大底,拉链鞋款,复古潮鞋,春季新款,42,女,浙江省,是,8,否
917039657,鸿星尔克简约百搭春季新款,鸿星尔克,99,168,59,466,494,91,超纤皮鞋,MD发泡底,拉链鞋款,简约百搭,春季新款,43,女,浙江省,否,22,否
795529994,耐克潮流工装硬朗秋季百搭,耐克潮流,99,132,75,27,938,92,布面材质,混合鞋底,松紧带鞋,工装硬朗,秋季百搭,49,男,安徽省,是,5,否
946878944,特步男鞋复古潮鞋秋季百搭,特步男鞋,138,150,92,38,897,90,布面材质,混合鞋底,套脚款式,复古潮鞋,秋季百搭,39,男,四川省,否,10,是
860197705,斯凯奇潮运动休闲秋季百搭,斯凯奇潮,162,198,82,2588,1270,96,真皮柔软,橡胶大底,松紧带鞋,运动休闲,秋季百搭,45,男,湖北省,否,23,是
844279648,其他品牌复古潮鞋秋季百搭,其他品牌,124,182,68,2332,184,94,真皮柔软,MD发泡底,拉链鞋款,复古潮鞋,秋季百搭,65,男,河北省,否,5,否
358730075,特步男鞋日常休闲四季通用,特步男鞋,106,109,97,1403,1258,94,高端飞织,MD发泡底,套脚款式,日常休闲,四季通用,51,女,安徽省,是,22,是
556485266,耐克潮流工装硬朗春季新款,耐克潮流,145,210,69,2473,1316,85,布面材质,混合鞋底,套脚款式,工装硬朗,春季新款,40,女,山东省,是,19,是
385885571,安踏运动潮流高街冬季保暖,安踏运动,175,343,51,1496,15661,92,飞织面料,橡胶大底,拉链鞋款,潮流高街,冬季保暖,49,女,安徽省,是,23,否
539871278,耐克潮流复古潮鞋四季通用,耐克潮流,99,106,93,2934,354,96,混合材质,混合鞋底,拉链鞋款,复古潮鞋,四季通用,46,男,福建省,否,8,是
653892079,李宁休闲潮流高街四季通用,李宁休闲,152,292,52,265,2371,99,网布透气,MD发泡底,松紧带鞋,潮流高街,四季通用,54,女,河北省,否,21,是
882859344,特步男鞋潮流高街夏季透气,特步男鞋,99,157,63,4083,3405,85,高端飞织,混合鞋底,系带设计,潮流高街,夏季透气,62,男,浙江省,否,16,否
534776753,回力经典工装硬朗冬季保暖,回力经典,151,184,82,3549,502,99,网布透气,MD发泡底,拉链鞋款,工装硬朗,冬季保暖,48,女,河南省,否,22,否
268003819,安踏运动简约百搭夏季透气,安踏运动,153,170,90,317,292,91,真皮柔软,橡胶大底,拉链鞋款,简约百搭,夏季透气,32,男,福建省,否,17,是
948948011,鸿星尔克简约百搭四季通用,鸿星尔克,119,212,56,264,4367,94,网布透气,混合鞋底,松紧带鞋,简约百搭,四季通用,53,男,山东省,是,23,否
262969916,其他品牌简约百搭秋季百搭,其他品牌,109,170,64,1310,10649,90,混合材质,MD发泡底,套脚款式,简约百搭,秋季百搭,59,男,四川省,是,23,否
732426408,阿迪达斯复古潮鞋四季通用,阿迪达斯,99,124,80,4470,259,93,超纤皮鞋,EVA轻底,松紧带鞋,复古潮鞋,四季通用,44,男,江苏省,是,12,是
692299827,阿迪达斯工装硬朗秋季百搭,阿迪达斯,99,194,51,39,1923,98,超纤皮鞋,MD发泡底,系带设计,工装硬朗,秋季百搭,61,女,河南省,否,20,否
323483792,特步男鞋运动休闲春季新款,特步男鞋,122,177,69,1200,1220,94,合成革鞋,EVA轻底,魔术贴鞋,运动休闲,春季新款,47,男,山东省,否,9,否
294031849,耐克潮流复古潮鞋四季通用,耐克潮流,99,171,58,241,2739,97,超纤皮鞋,MD发泡底,系带设计,复古潮鞋,四季通用,45,女,江苏省,否,19,是
553784188,鸿星尔克复古潮鞋冬季保暖,鸿星尔克,225,234,96,1311,3051,98,网布透气,MD发泡底,系带设计,复古潮鞋,冬季保暖,45,女,福建省,否,13,是
259214103,回力经典日常休闲夏季透气,回力经典,99,102,97,13,2816,98,真皮柔软,TPR鞋底,魔术贴鞋,日常休闲,夏季透气,42,女,江苏省,是,20,否
360517350,安踏运动工装硬朗冬季保暖,安踏运动,99,134,74,6,4679,92,超纤皮鞋,混合鞋底,套脚款式,工装硬朗,冬季保暖,63,男,四川省,否,21,否
172612454,李宁休闲简约百搭秋季百搭,李宁休闲,194,334,58,935,202,96,飞织面料,混合鞋底,拉链鞋款,简约百搭,秋季百搭,39,女,安徽省,是,23,否
472456613,斯凯奇潮工装硬朗四季通用,斯凯奇潮,135,155,87,26,5086,96,飞织面料,PU中底,套脚款式,工装硬朗,四季通用,53,女,广东省,是,19,是
874055005,回力经典日常休闲夏季透气,回力经典,119,168,71,1274,1930,92,合成革鞋,橡胶大底,套脚款式,日常休闲,夏季透气,47,女,四川省,是,9,是
368156308,回力经典简约百搭四季通用,回力经典,109,198,55,32,104,92,网布透气,MD发泡底,拉链鞋款,简约百搭,四季通用,42,女,广东省,是,22,是
900729564,耐克潮流复古潮鞋四季通用,耐克潮流,154,291,53,56,198,96,混合材质,MD发泡底,套脚款式,复古潮鞋,四季通用,53,女,湖北省,否,23,否
482070059,安踏运动简约百搭四季通用,安踏运动,99,114,87,1128,731,90,合成革鞋,MD发泡底,系带设计,简约百搭,四季通用,38,男,江苏省,是,15,否
911277932,鸿星尔克工装硬朗夏季透气,鸿星尔克,350,443,79,4927,300,89,网布透气,橡胶大底,套脚款式,工装硬朗,夏季透气,45,男,广东省,否,22,否
889180785,回力经典运动休闲四季通用,回力经典,105,169,62,1091,1237,91,真皮柔软,EVA轻底,拉链鞋款,运动休闲,四季通用,51,男,江苏省,是,22,否
489863690,京东京造复古潮鞋四季通用,京东京造,99,114,87,41,137,97,超纤皮鞋,MD发泡底,拉链鞋款,复古潮鞋,四季通用,54,女,山东省,否,14,是
523272926,阿迪达斯潮流高街夏季透气,阿迪达斯,114,211,54,445,1081,99,真皮柔软,PU中底,系带设计,潮流高街,夏季透气,44,女,山东省,是,14,否
851834358,安踏运动户外机能秋季百搭,安踏运动,156,289,54,585,1502,91,超纤皮鞋,EVA轻底,魔术贴鞋,户外机能,秋季百搭,56,男,安徽省,是,19,否
926479977,特步男鞋简约百搭夏季透气,特步男鞋,99,171,58,3791,7308,91,飞织面料,EVA轻底,拉链鞋款,简约百搭,夏季透气,37,女,山东省,是,22,否
599695162,安踏运动运动休闲冬季保暖,安踏运动,226,286,79,1073,5804,95,飞织面料,橡胶大底,系带设计,运动休闲,冬季保暖,22,女,浙江省,是,2,否
532560525,其他品牌简约百搭秋季百搭,其他品牌,374,613,61,1024,4715,93,真皮柔软,混合鞋底,套脚款式,简约百搭,秋季百搭,44,男,安徽省,是,22,是
422670783,耐克潮流潮流高街四季通用,耐克潮流,99,146,68,2993,137,90,布面材质,混合鞋底,拉链鞋款,潮流高街,四季通用,42,女,福建省,是,11,是
988379131,耐克潮流工装硬朗冬季保暖,耐克潮流,174,272,64,170,929,99,网布透气,MD发泡底,系带设计,工装硬朗,冬季保暖,44,男,江苏省,否,22,否
445118993,回力经典户外机能冬季保暖,回力经典,102,116,88,834,1818,92,高端飞织,TPR鞋底,松紧带鞋,户外机能,冬季保暖,55,男,山东省,是,11,否
563037798,特步男鞋简约百搭春季新款,特步男鞋,119,180,66,1065,2424,95,真皮柔软,TPR鞋底,魔术贴鞋,简约百搭,春季新款,46,女,河北省,是,21,是
484615166,李宁休闲潮流高街春季新款,李宁休闲,99,152,65,278,1543,95,混合材质,混合鞋底,套脚款式,潮流高街,春季新款,52,男,河北省,否,16,否
876956746,耐克潮流户外机能春季新款,耐克潮流,144,166,87,24,804,97,超纤皮鞋,MD发泡底,魔术贴鞋,户外机能,春季新款,48,女,浙江省,是,23,否
287852675,斯凯奇潮简约百搭冬季保暖,斯凯奇潮,138,155,89,928,600,94,混合材质,橡胶大底,魔术贴鞋,简约百搭,冬季保暖,53,女,安徽省,否,21,否
297439056,斯凯奇潮工装硬朗春季新款,斯凯奇潮,100,175,57,2510,787,98,超纤皮鞋,橡胶大底,套脚款式,工装硬朗,春季新款,59,男,福建省,是,0,否
661639520,特步男鞋日常休闲四季通用,特步男鞋,181,245,74,29,1119,99,飞织面料,PU中底,魔术贴鞋,日常休闲,四季通用,50,男,河北省,否,11,否
406715759,耐克潮流简约百搭秋季百搭,耐克潮流,285,432,66,169,2385,100,超纤皮鞋,TPR鞋底,松紧带鞋,简约百搭,秋季百搭,36,女,河北省,否,1,是
482358187,其他品牌户外机能春季新款,其他品牌,200,274,73,575,3666,97,合成革鞋,TPR鞋底,松紧带鞋,户外机能,春季新款,51,男,河北省,否,22,是
749738108,李宁休闲复古潮鞋冬季保暖,李宁休闲,258,430,60,486,2961,96,高端飞织,混合鞋底,拉链鞋款,复古潮鞋,冬季保暖,58,男,江苏省,是,23,是
